learner_id,course_id,platform,enrollment_date,completion_status,assessment_score,feedback_score,time_spent_hours,video_completion_rate,interaction_count,anomaly_flag,course_quality_label,avg_completion_rate,avg_assessment_score,is_high_feedback,engagement_score,enrollment_month,enrollment_day_of_week
L0001,C082,Coursera,2022-01-13,1,53.3,1.6,0.6,0.96,11.0,0,0,0.661016949,45.00677966,0,10.56,1,3
L0002,C095,edX,2022-05-06,0,0.0,0.0,2.9,0.42,1.0,0,0,0.679245283,48.90754717,0,0.42,5,4
L0003,C029,Udemy,2022-02-22,0,0.0,0.0,1.3,0.26,1.0,0,0,0.619047619,43.39761905,0,0.26,2,1
L0004,C087,FutureLearn,2022-02-14,1,74.8,1.6,3.5,0.81,10.0,0,0,0.693877551,49.60204082,0,8.1,2,0
L0005,C076,Skillshare,2022-01-17,0,0.0,0.0,1.8,0.3,0.0,0,0,0.783333333,51.98333333,0,0.0,1,0
L0006,C004,Coursera,2022-04-22,1,61.0,1.4,11.5,0.83,,0,0,0.84,57.566,0,4.98,4,4
L0007,C030,FutureLearn,2022-11-05,0,0.0,0.0,2.8,0.13,2.0,0,0,0.714285714,49.2877551,0,0.26,11,5
L0008,C004,FutureLearn,2022-04-12,1,84.2,1.7,34.9,0.93,5.0,0,0,0.84,57.566,0,4.65,4,1
L0009,C092,FutureLearn,2022-08-03,0,0.0,0.0,1.3,,2.0,0,0,0.804347826,55.64782609,0,0.38,8,2
L0010,C029,Skillshare,2022-10-29,0,0.0,0.0,1.9,0.07,1.0,0,0,0.619047619,43.39761905,0,0.07,10,5
L0011,C036,Coursera,2022-03-23,1,59.8,1.0,16.9,0.91,12.0,0,0,0.68,47.784,0,10.92,3,2
L0012,C090,Skillshare,2022-06-24,0,0.0,0.0,1.4,0.06,3.0,0,0,0.711538462,48.97307692,0,0.18,6,4
L0013,C036,Udemy,2022-04-21,1,79.2,2.3,13.1,,15.0,0,0,0.68,47.784,0,13.35,4,3
L0014,C098,edX,2022-02-22,0,0.0,0.0,2.3,0.38,3.0,0,0,0.795454545,56.28409091,0,1.14,2,1
L0015,C012,Skillshare,2022-02-19,1,71.3,2.3,7.1,0.97,7.0,0,0,0.734375,52.640625,0,6.79,2,5
L0016,C046,edX,2022-11-06,1,65.5,1.9,0.8,0.79,13.0,0,0,0.775510204,53.68367347,0,10.27,11,6
